iter	Passed	Remaining
596	16451	38662
597	16479	38636
598	16505	38605
599	16535	38581
600	16563	38556
601	16590	38527
602	16616	38497
603	16645	38471
604	16673	38445
605	16704	38424
606	16732	38399
607	16761	38374
608	16790	38350
609	16819	38327
610	16850	38306
611	16878	38279
612	16905	38250
613	16933	38225
614	16961	38197
615	16985	38162
616	17012	38132
617	17037	38099
618	17063	38069
619	17087	38033
620	17113	38003
621	17139	37972
622	17168	37946
623	17193	37914
624	17219	37881
625	17247	37856
626	17273	37824
627	17299	37794
628	17327	37768
629	17354	37738
630	17383	37715
631	17409	37684
632	17435	37653
633	17464	37629
634	17492	37602
635	17518	37571
636	17549	37550
637	17578	37526
638	17610	37507
639	17636	37478
640	17664	37451
641	17693	37427
642	17719	37394
643	17747	37369
644	17776	37343
645	17804	37316
646	17832	37291
647	17859	37262
648	17885	37232
649	17914	37206
650	17942	37180
651	17969	37151
652	17998	37126
653	18026	37101
654	18055	37075
655	18083	37048
656	18113	37026
657	18144	37006
658	18176	36987
659	18214	36981
660	18249	36969
661	18287	36962
662	18312	36929
663	18342	36905
664	18368	36874
665	18394	36843
666	18421	36815
667	18447	36784
668	18474	36755
669	18503	36730
670	18532	36705
671	18562	36683
672	18593	36661
673	18620	36633
674	18648	36607
675	18678	36583
676	18705	36554
677	18729	36519
678	18751	36481
679	18775	36445
680	18802	36416
681	18826	36384
682	18854	36355
683	18880	36325
684	18906	36294
685	18932	36263
686	18957	36231
687	18984	36203
688	19011	36174
689	19039	36147
690	19065	36117
691	19093	36089
692	19119	36059
693	19149	36036
694	19177	36009
695	19209	35990
696	19239	35967
697	19266	35938
698	19296	35915
699	19329	35896
700	19358	35871
701	19385	35844
702	19416	35822
703	19444	35795
704	19473	35770
705	19500	35742
706	19526	35711
707	19554	35684
708	19582	35656
709	19609	35628
710	19639	35604
711	19667	35578
712	19695	35552
713	19725	35528
714	19758	35510
715	19790	35489
716	19819	35464
717	19849	35441
718	19876	35413
